metric,value
telencephalon_proteoforms,309
optic_tectum_proteoforms,533
shared_proteoforms,35
union_proteoforms,807
jaccard_overlap,0.0434
telencephalon_unique,274
optic_tectum_unique,498
telencephalon_specialization_fraction,0.8867
optic_tectum_specialization_fraction,0.9343
protein_overlap_fraction,0.2151
teo_to_tel_ratio,1.7249
modification_fraction,0.4436
n_terminal_acetylation_fraction_of_modified,0.5894
single_run_high_water_mark,418
cells_per_section_estimate,5000
cells_per_run_estimate,250
marker_alignment_fraction,0.9766
expected_alignment_under_region_prevalence,0.5811
alignment_excess_over_prevalence,0.3955
marker_panel_total_counts,128
marker_panel_fraction_of_regional_count_mass,0.152
marker_groups_total,9
marker_groups_favoring_expected_region,9
group_level_mean_matched_share,0.9826
group_level_min_matched_share,0.875
group_level_one_sided_sign_p,0.001953
protein_to_proteoform_overlap_ratio,4.9562
leave_one_out_min_alignment,0.9625
leave_one_out_max_alignment,0.9911
single_run_proteoforms_per_estimated_cell,1.672
